,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
3 / mixed / onset + benchmark,mixed,249.2,0.19669,0.032421,0.714286,0.608442,0.651865,0.978202,0.91922,1.0,0.551515,4.540676,0.518247,3.372546,0.856935,3.580671,1.114969,0.608442,0.730018,0.980535,0.965261,1.0,0.077121,4.661799,0.603124,3.275295,1.109957,4.672136,1.217832,0.19669,0.032421,3,onset + benchmark
3 / lvo / speed + benchmark,lvo,57.2,0.345455,0.089685,0.6875,0.520979,0.852349,0.95,0.96063,1.0,0.852459,4.470699,0.509455,2.70805,0.0,3.509828,1.189204,0.520979,0.892617,0.95,1.0,1.0,0.203008,4.522309,0.552364,2.70805,0.0,4.594575,1.250206,0.345455,0.089685,3,speed + benchmark
3 / nlvo / speed + benchmark,nlvo,150.2,0.099351,0.003928,1.0,0.423435,0.562893,0.95,0.883721,1.0,0.496503,4.618243,0.501423,2.70805,0.0,3.700318,0.978028,0.423435,0.647799,0.95,0.929648,1.0,0.016216,4.758644,0.592844,2.70805,0.0,,,0.099351,0.003928,3,speed + benchmark
3 / other / speed + benchmark,other,41.8,0.0,0.0,,0.45933,0.635417,0.95,0.933333,1.0,0.0,4.458749,0.558807,2.70805,0.0,,,0.45933,0.75,0.95,1.0,1.0,0.0,4.642383,0.674168,2.70805,0.0,,,0.0,0.0,3,speed + benchmark
3 / mixed / speed + benchmark,mixed,249.2,0.141856,0.023327,0.714286,0.451846,0.651865,0.95,0.91922,1.0,0.551515,4.540676,0.518247,2.70805,0.0,3.580671,1.114969,0.451846,0.730018,0.95,0.965261,1.0,0.077121,4.661799,0.603124,2.70805,0.0,4.672136,1.217832,0.141856,0.023327,3,speed + benchmark
3 / lvo / speed + onset,lvo,57.2,0.295023,0.104811,0.6875,0.608843,0.852349,0.95,0.96063,1.0,0.622951,4.470699,0.509455,2.70805,0.0,3.509828,1.189204,0.608843,0.892617,0.95,1.0,1.0,0.203008,4.522309,0.552364,2.70805,0.0,4.594575,1.250206,0.295023,0.104811,3,speed + onset
3 / nlvo / speed + onset,nlvo,150.2,0.083596,0.005543,1.0,0.597516,0.562893,0.95,0.883721,1.0,0.296053,4.618243,0.501423,2.70805,0.0,3.700318,0.978028,0.597516,0.647799,0.95,0.929648,1.0,0.016216,4.758644,0.592844,2.70805,0.0,,,0.083596,0.005543,3,speed + onset
3 / other / speed + onset,other,41.8,0.0,0.0,,0.608578,0.635417,0.95,0.933333,1.0,0.0,4.458749,0.558807,2.70805,0.0,,,0.608578,0.75,0.95,1.0,1.0,0.0,4.642383,0.674168,2.70805,0.0,,,0.0,0.0,3,speed + onset
3 / mixed / speed + onset,mixed,249.2,0.126996,0.031412,0.714286,0.608442,0.651865,0.95,0.91922,1.0,0.366667,4.540676,0.518247,2.70805,0.0,3.580671,1.114969,0.608442,0.730018,0.95,0.965261,1.0,0.077121,4.661799,0.603124,2.70805,0.0,4.672136,1.217832,0.126996,0.031412,3,speed + onset
3 / lvo / speed + onset + benchmark,lvo,57.2,0.403716,0.104811,0.6875,0.608843,0.852349,0.95,0.96063,1.0,0.852459,4.470699,0.509455,2.70805,0.0,3.509828,1.189204,0.608843,0.892617,0.95,1.0,1.0,0.203008,4.522309,0.552364,2.70805,0.0,4.594575,1.250206,0.403716,0.104811,3,speed + onset + benchmark
3 / nlvo / speed + onset + benchmark,nlvo,150.2,0.140196,0.005543,1.0,0.597516,0.562893,0.95,0.883721,1.0,0.496503,4.618243,0.501423,2.70805,0.0,3.700318,0.978028,0.597516,0.647799,0.95,0.929648,1.0,0.016216,4.758644,0.592844,2.70805,0.0,,,0.140196,0.005543,3,speed + onset + benchmark
3 / other / speed + onset + benchmark,other,41.8,0.0,0.0,,0.608578,0.635417,0.95,0.933333,1.0,0.0,4.458749,0.558807,2.70805,0.0,,,0.608578,0.75,0.95,1.0,1.0,0.0,4.642383,0.674168,2.70805,0.0,,,0.0,0.0,3,speed + onset + benchmark
3 / mixed / speed + onset + benchmark,mixed,249.2,0.191019,0.031412,0.714286,0.608442,0.651865,0.95,0.91922,1.0,0.551515,4.540676,0.518247,2.70805,0.0,3.580671,1.114969,0.608442,0.730018,0.95,0.965261,1.0,0.077121,4.661799,0.603124,2.70805,0.0,4.672136,1.217832,0.191019,0.031412,3,speed + onset + benchmark
4 / lvo / base,lvo,169.6,0.423349,0.033019,0.785714,0.345519,0.955631,0.992857,0.97482,1.0,0.785978,4.270365,0.555038,3.027744,0.800817,3.047197,0.73832,0.345519,0.96587,0.992933,0.992883,1.0,0.064516,4.285011,0.569994,3.041072,0.813727,4.982535,0.184448,0.251179,0.021226,4,base
4 / nlvo / base,nlvo,530.6,0.185074,0.001508,1.0,0.320769,0.790834,0.950966,0.884375,1.0,0.565371,4.477461,0.562256,3.375187,0.917704,2.964577,0.823697,0.320769,0.839013,0.969188,0.937861,1.0,0.004622,4.545416,0.611975,3.473957,0.994115,,,0.120618,0.001131,4,base
4 / other / base,other,94.4,0.0,0.0,,0.317797,0.9,0.992593,0.955224,1.0,0.0,4.312429,0.469012,3.244223,0.844719,,,0.317797,0.946667,0.992958,0.957447,1.0,0.0,4.380752,0.54773,3.304752,0.904467,,,0.0,0.0,4,base
4 / mixed / base,mixed,794.6,0.213944,0.008054,0.8125,0.325698,0.840804,0.966912,0.9173,1.0,0.552332,4.403687,0.557323,3.26669,0.890895,2.997594,0.791011,0.325698,0.880216,0.978051,0.954219,1.0,0.019755,4.460186,0.604404,3.343348,0.95755,4.994156,0.22609,0.134155,0.005286,4,base
4 / lvo / benchmark,lvo,169.6,0.271226,0.021226,0.785714,0.345519,0.955631,0.992857,0.97482,1.0,0.848708,4.270365,0.555038,3.027744,0.800817,3.047197,0.73832,0.345519,0.96587,0.992933,0.992883,1.0,0.064516,4.285011,0.569994,3.041072,0.813727,4.982535,0.184448,0.271226,0.021226,4,benchmark
4 / nlvo / benchmark,nlvo,530.6,0.120255,0.001131,1.0,0.320769,0.790834,0.950966,0.884375,1.0,0.56367,4.477461,0.562256,3.375187,0.917704,2.964577,0.823697,0.320769,0.839013,0.969188,0.937861,1.0,0.004622,4.545416,0.611975,3.473957,0.994115,,,0.120255,0.001131,4,benchmark
4 / other / benchmark,other,94.4,0.0,0.0,,0.317797,0.9,0.992593,0.955224,1.0,0.0,4.312429,0.469012,3.244223,0.844719,,,0.317797,0.946667,0.992958,0.957447,1.0,0.0,4.380752,0.54773,3.304752,0.904467,,,0.0,0.0,4,benchmark
4 / mixed / benchmark,mixed,794.6,0.140951,0.005286,0.8125,0.325698,0.840804,0.966912,0.9173,1.0,0.580311,4.403687,0.557323,3.26669,0.890895,2.997594,0.791011,0.325698,0.880216,0.978051,0.954219,1.0,0.019755,4.460186,0.604404,3.343348,0.95755,4.994156,0.22609,0.140951,0.005286,4,benchmark
4 / lvo / onset,lvo,169.6,0.442606,0.037403,0.785714,0.608843,0.955631,0.992857,0.97482,1.0,0.785978,4.270365,0.555038,3.027744,0.800817,3.047197,0.73832,0.608843,0.96587,0.992933,0.992883,1.0,0.064516,4.285011,0.569994,3.041072,0.813727,4.982535,0.184448,0.442606,0.037403,4,onset
4 / nlvo / onset,nlvo,530.6,0.224683,0.002106,1.0,0.597516,0.790834,0.950966,0.884375,1.0,0.565371,4.477461,0.562256,3.375187,0.917704,2.964577,0.823697,0.597516,0.839013,0.969188,0.937861,1.0,0.004622,4.545416,0.611975,3.473957,0.994115,,,0.224683,0.002106,4,onset
4 / other / onset,other,94.4,0.0,0.0,,0.608578,0.9,0.992593,0.955224,1.0,0.0,4.312429,0.469012,3.244223,0.844719,,,0.608578,0.946667,0.992958,0.957447,1.0,0.0,4.380752,0.54773,3.304752,0.904467,,,0.0,0.0,4,onset
4 / mixed / onset,mixed,794.6,0.250618,0.009874,0.8125,0.608442,0.840804,0.966912,0.9173,1.0,0.552332,4.403687,0.557323,3.26669,0.890895,2.997594,0.791011,0.608442,0.880216,0.978051,0.954219,1.0,0.019755,4.460186,0.604404,3.343348,0.95755,4.994156,0.22609,0.250618,0.009874,4,onset
4 / lvo / speed,lvo,169.6,0.240337,0.020309,0.785714,0.345519,0.955631,0.95,0.97482,1.0,0.785978,4.270365,0.555038,2.70805,0.0,3.047197,0.73832,0.345519,0.96587,0.95,0.992883,1.0,0.064516,4.285011,0.569994,2.70805,0.0,4.982535,0.184448,0.240337,0.020309,4,speed
4 / nlvo / speed,nlvo,530.6,0.120496,0.001108,1.0,0.320769,0.790834,0.95,0.884375,1.0,0.565371,4.477461,0.562256,2.70805,0.0,2.964577,0.823697,0.320769,0.839013,0.95,0.937861,1.0,0.004622,4.545416,0.611975,2.70805,0.0,,,0.120496,0.001108,4,speed
4 / other / speed,other,94.4,0.0,0.0,,0.317797,0.9,0.95,0.955224,1.0,0.0,4.312429,0.469012,2.70805,0.0,,,0.317797,0.946667,0.95,0.957447,1.0,0.0,4.380752,0.54773,2.70805,0.0,,,0.0,0.0,4,speed
4 / mixed / speed,mixed,794.6,0.131809,0.005134,0.8125,0.325698,0.840804,0.95,0.9173,1.0,0.552332,4.403687,0.557323,2.70805,0.0,2.997594,0.791011,0.325698,0.880216,0.95,0.954219,1.0,0.019755,4.460186,0.604404,2.70805,0.0,4.994156,0.22609,0.131809,0.005134,4,speed
4 / lvo / onset + benchmark,lvo,169.6,0.477931,0.037403,0.785714,0.608843,0.955631,0.992857,0.97482,1.0,0.848708,4.270365,0.555038,3.027744,0.800817,3.047197,0.73832,0.608843,0.96587,0.992933,0.992883,1.0,0.064516,4.285011,0.569994,3.041072,0.813727,4.982535,0.184448,0.477931,0.037403,4,onset + benchmark
4 / nlvo / onset + benchmark,nlvo,530.6,0.224007,0.002106,1.0,0.597516,0.790834,0.950966,0.884375,1.0,0.56367,4.477461,0.562256,3.375187,0.917704,2.964577,0.823697,0.597516,0.839013,0.969188,0.937861,1.0,0.004622,4.545416,0.611975,3.473957,0.994115,,,0.224007,0.002106,4,onset + benchmark
4 / other / onset + benchmark,other,94.4,0.0,0.0,,0.608578,0.9,0.992593,0.955224,1.0,0.0,4.312429,0.469012,3.244223,0.844719,,,0.608578,0.946667,0.992958,0.957447,1.0,0.0,4.380752,0.54773,3.304752,0.904467,,,0.0,0.0,4,onset + benchmark
4 / mixed / onset + benchmark,mixed,794.6,0.263313,0.009874,0.8125,0.608442,0.840804,0.966912,0.9173,1.0,0.580311,4.403687,0.557323,3.26669,0.890895,2.997594,0.791011,0.608442,0.880216,0.978051,0.954219,1.0,0.019755,4.460186,0.604404,3.343348,0.95755,4.994156,0.22609,0.263313,0.009874,4,onset + benchmark
4 / lvo / speed + benchmark,lvo,169.6,0.259519,0.020309,0.785714,0.345519,0.955631,0.95,0.97482,1.0,0.848708,4.270365,0.555038,2.70805,0.0,3.047197,0.73832,0.345519,0.96587,0.95,0.992883,1.0,0.064516,4.285011,0.569994,2.70805,0.0,4.982535,0.184448,0.259519,0.020309,4,speed + benchmark
4 / nlvo / speed + benchmark,nlvo,530.6,0.120133,0.001108,1.0,0.320769,0.790834,0.95,0.884375,1.0,0.56367,4.477461,0.562256,2.70805,0.0,2.964577,0.823697,0.320769,0.839013,0.95,0.937861,1.0,0.004622,4.545416,0.611975,2.70805,0.0,,,0.120133,0.001108,4,speed + benchmark
4 / other / speed + benchmark,other,94.4,0.0,0.0,,0.317797,0.9,0.95,0.955224,1.0,0.0,4.312429,0.469012,2.70805,0.0,,,0.317797,0.946667,0.95,0.957447,1.0,0.0,4.380752,0.54773,2.70805,0.0,,,0.0,0.0,4,speed + benchmark
4 / mixed / speed + benchmark,mixed,794.6,0.138486,0.005134,0.8125,0.325698,0.840804,0.95,0.9173,1.0,0.580311,4.403687,0.557323,2.70805,0.0,2.997594,0.791011,0.325698,0.880216,0.95,0.954219,1.0,0.019755,4.460186,0.604404,2.70805,0.0,4.994156,0.22609,0.138486,0.005134,4,speed + benchmark
4 / lvo / speed + onset,lvo,169.6,0.423501,0.035786,0.785714,0.608843,0.955631,0.95,0.97482,1.0,0.785978,4.270365,0.555038,2.70805,0.0,3.047197,0.73832,0.608843,0.96587,0.95,0.992883,1.0,0.064516,4.285011,0.569994,2.70805,0.0,4.982535,0.184448,0.423501,0.035786,4,speed + onset
4 / nlvo / speed + onset,nlvo,530.6,0.224455,0.002064,1.0,0.597516,0.790834,0.95,0.884375,1.0,0.565371,4.477461,0.562256,2.70805,0.0,2.964577,0.823697,0.597516,0.839013,0.95,0.937861,1.0,0.004622,4.545416,0.611975,2.70805,0.0,,,0.224455,0.002064,4,speed + onset
4 / other / speed + onset,other,94.4,0.0,0.0,,0.608578,0.9,0.95,0.955224,1.0,0.0,4.312429,0.469012,2.70805,0.0,,,0.608578,0.946667,0.95,0.957447,1.0,0.0,4.380752,0.54773,2.70805,0.0,,,0.0,0.0,4,speed + onset
4 / mixed / speed + onset,mixed,794.6,0.246234,0.009591,0.8125,0.608442,0.840804,0.95,0.9173,1.0,0.552332,4.403687,0.557323,2.70805,0.0,2.997594,0.791011,0.608442,0.880216,0.95,0.954219,1.0,0.019755,4.460186,0.604404,2.70805,0.0,4.994156,0.22609,0.246234,0.009591,4,speed + onset
4 / lvo / speed + onset + benchmark,lvo,169.6,0.457301,0.035786,0.785714,0.608843,0.955631,0.95,0.97482,1.0,0.848708,4.270365,0.555038,2.70805,0.0,3.047197,0.73832,0.608843,0.96587,0.95,0.992883,1.0,0.064516,4.285011,0.569994,2.70805,0.0,4.982535,0.184448,0.457301,0.035786,4,speed + onset + benchmark
4 / nlvo / speed + onset + benchmark,nlvo,530.6,0.22378,0.002064,1.0,0.597516,0.790834,0.95,0.884375,1.0,0.56367,4.477461,0.562256,2.70805,0.0,2.964577,0.823697,0.597516,0.839013,0.95,0.937861,1.0,0.004622,4.545416,0.611975,2.70805,0.0,,,0.22378,0.002064,4,speed + onset + benchmark
4 / other / speed + onset + benchmark,other,94.4,0.0,0.0,,0.608578,0.9,0.95,0.955224,1.0,0.0,4.312429,0.469012,2.70805,0.0,,,0.608578,0.946667,0.95,0.957447,1.0,0.0,4.380752,0.54773,2.70805,0.0,,,0.0,0.0,4,speed + onset + benchmark
4 / mixed / speed + onset + benchmark,mixed,794.6,0.258708,0.009591,0.8125,0.608442,0.840804,0.95,0.9173,1.0,0.580311,4.403687,0.557323,2.70805,0.0,2.997594,0.791011,0.608442,0.880216,0.95,0.954219,1.0,0.019755,4.460186,0.604404,2.70805,0.0,4.994156,0.22609,0.258708,0.009591,4,speed + onset + benchmark
5 / lvo / base,lvo,41.4,0.202899,0.043478,0.666667,0.434783,0.866667,1.0,0.987179,1.0,0.467532,4.217163,0.3387,3.413531,0.435779,3.486213,0.556763,0.434783,0.933333,1.0,0.964286,1.0,0.098765,4.325953,0.51294,3.430235,0.468034,,,0.173913,0.038647,5,base
5 / nlvo / base,nlvo,186.4,0.072961,0.002146,0.0,0.439914,0.62439,0.976562,0.924,1.0,0.25974,4.438463,0.51105,3.589563,0.54589,3.337055,0.820257,0.439914,0.717073,0.986395,0.910345,1.0,0.0,4.603581,0.643085,3.65099,0.621817,,,0.064378,0.0,5,base
5 / other / base,other,41.2,0.0,0.0,,0.451456,0.741935,0.971014,0.910448,1.0,0.0,4.430044,0.553439,3.441058,0.708442,,,0.451456,0.795699,0.986486,0.945205,1.0,0.0,4.515069,0.622603,3.476887,0.759186,,,0.0,0.0,5,base
5 / mixed / base,mixed,269.0,0.081784,0.008178,0.545455,0.440892,0.679595,0.980149,0.934177,1.0,0.260163,4.394189,0.496994,3.529613,0.561957,3.392989,0.733029,0.440892,0.762226,0.988938,0.926174,1.0,0.019324,4.537496,0.625383,3.581073,0.627374,,,0.071376,0.005948,5,base
5 / lvo / benchmark,lvo,41.4,0.241546,0.038647,0.666667,0.434783,0.866667,1.0,0.987179,1.0,0.649351,4.217163,0.3387,3.413531,0.435779,3.486213,0.556763,0.434783,0.933333,1.0,0.964286,1.0,0.098765,4.325953,0.51294,3.430235,0.468034,,,0.241546,0.038647,5,benchmark
5 / nlvo / benchmark,nlvo,186.4,0.093362,0.0,0.0,0.439914,0.62439,0.976562,0.924,1.0,0.376682,4.438463,0.51105,3.589563,0.54589,3.337055,0.820257,0.439914,0.717073,0.986395,0.910345,1.0,0.0,4.603581,0.643085,3.65099,0.621817,,,0.093362,0.0,5,benchmark
5 / other / benchmark,other,41.2,0.0,0.0,,0.451456,0.741935,0.971014,0.910448,1.0,0.0,4.430044,0.553439,3.441058,0.708442,,,0.451456,0.795699,0.986486,0.945205,1.0,0.0,4.515069,0.622603,3.476887,0.759186,,,0.0,0.0,5,benchmark
5 / mixed / benchmark,mixed,269.0,0.103346,0.005948,0.545455,0.440892,0.679595,0.980149,0.934177,1.0,0.376694,4.394189,0.496994,3.529613,0.561957,3.392989,0.733029,0.440892,0.762226,0.988938,0.926174,1.0,0.019324,4.537496,0.625383,3.581073,0.627374,,,0.103346,0.005948,5,benchmark
5 / lvo / onset,lvo,41.4,0.243537,0.054119,0.666667,0.608843,0.866667,1.0,0.987179,1.0,0.467532,4.217163,0.3387,3.413531,0.435779,3.486213,0.556763,0.608843,0.933333,1.0,0.964286,1.0,0.098765,4.325953,0.51294,3.430235,0.468034,,,0.243537,0.054119,5,onset
5 / nlvo / onset,nlvo,186.4,0.087441,0.0,0.0,0.597516,0.62439,0.976562,0.924,1.0,0.25974,4.438463,0.51105,3.589563,0.54589,3.337055,0.820257,0.597516,0.717073,0.986395,0.910345,1.0,0.0,4.603581,0.643085,3.65099,0.621817,,,0.087441,0.0,5,onset
5 / other / onset,other,41.2,0.0,0.0,,0.608578,0.741935,0.971014,0.910448,1.0,0.0,4.430044,0.553439,3.441058,0.708442,,,0.608578,0.795699,0.986486,0.945205,1.0,0.0,4.515069,0.622603,3.476887,0.759186,,,0.0,0.0,5,onset
5 / mixed / onset,mixed,269.0,0.0985,0.008208,0.545455,0.608442,0.679595,0.980149,0.934177,1.0,0.260163,4.394189,0.496994,3.529613,0.561957,3.392989,0.733029,0.608442,0.762226,0.988938,0.926174,1.0,0.019324,4.537496,0.625383,3.581073,0.627374,,,0.0985,0.008208,5,onset
5 / lvo / speed,lvo,41.4,0.165217,0.036715,0.666667,0.434783,0.866667,0.95,0.987179,1.0,0.467532,4.217163,0.3387,2.70805,0.0,3.486213,0.556763,0.434783,0.933333,0.95,0.964286,1.0,0.098765,4.325953,0.51294,2.70805,0.0,,,0.165217,0.036715,5,speed
5 / nlvo / speed,nlvo,186.4,0.062626,0.0,0.0,0.439914,0.62439,0.95,0.924,1.0,0.25974,4.438463,0.51105,2.70805,0.0,3.337055,0.820257,0.439914,0.717073,0.95,0.910345,1.0,0.0,4.603581,0.643085,2.70805,0.0,,,0.062626,0.0,5,speed
5 / other / speed,other,41.2,0.0,0.0,,0.451456,0.741935,0.95,0.910448,1.0,0.0,4.430044,0.553439,2.70805,0.0,,,0.451456,0.795699,0.95,0.945205,1.0,0.0,4.515069,0.622603,2.70805,0.0,,,0.0,0.0,5,speed
5 / mixed / speed,mixed,269.0,0.06918,0.005714,0.545455,0.440892,0.679595,0.95,0.934177,1.0,0.260163,4.394189,0.496994,2.70805,0.0,3.392989,0.733029,0.440892,0.762226,0.95,0.926174,1.0,0.019324,4.537496,0.625383,2.70805,0.0,,,0.06918,0.005714,5,speed
5 / lvo / onset + benchmark,lvo,41.4,0.338246,0.054119,0.666667,0.608843,0.866667,1.0,0.987179,1.0,0.649351,4.217163,0.3387,3.413531,0.435779,3.486213,0.556763,0.608843,0.933333,1.0,0.964286,1.0,0.098765,4.325953,0.51294,3.430235,0.468034,,,0.338246,0.054119,5,onset + benchmark
5 / nlvo / onset + benchmark,nlvo,186.4,0.12681,0.0,0.0,0.597516,0.62439,0.976562,0.924,1.0,0.376682,4.438463,0.51105,3.589563,0.54589,3.337055,0.820257,0.597516,0.717073,0.986395,0.910345,1.0,0.0,4.603581,0.643085,3.65099,0.621817,,,0.12681,0.0,5,onset + benchmark
5 / other / onset + benchmark,other,41.2,0.0,0.0,,0.608578,0.741935,0.971014,0.910448,1.0,0.0,4.430044,0.553439,3.441058,0.708442,,,0.608578,0.795699,0.986486,0.945205,1.0,0.0,4.515069,0.622603,3.476887,0.759186,,,0.0,0.0,5,onset + benchmark
5 / mixed / onset + benchmark,mixed,269.0,0.142619,0.008208,0.545455,0.608442,0.679595,0.980149,0.934177,1.0,0.376694,4.394189,0.496994,3.529613,0.561957,3.392989,0.733029,0.608442,0.762226,0.988938,0.926174,1.0,0.019324,4.537496,0.625383,3.581073,0.627374,,,0.142619,0.008208,5,onset + benchmark
5 / lvo / speed + benchmark,lvo,41.4,0.229469,0.036715,0.666667,0.434783,0.866667,0.95,0.987179,1.0,0.649351,4.217163,0.3387,2.70805,0.0,3.486213,0.556763,0.434783,0.933333,0.95,0.964286,1.0,0.098765,4.325953,0.51294,2.70805,0.0,,,0.229469,0.036715,5,speed + benchmark
5 / nlvo / speed + benchmark,nlvo,186.4,0.090823,0.0,0.0,0.439914,0.62439,0.95,0.924,1.0,0.376682,4.438463,0.51105,2.70805,0.0,3.337055,0.820257,0.439914,0.717073,0.95,0.910345,1.0,0.0,4.603581,0.643085,2.70805,0.0,,,0.090823,0.0,5,speed + benchmark
5 / other / speed + benchmark,other,41.2,0.0,0.0,,0.451456,0.741935,0.95,0.910448,1.0,0.0,4.430044,0.553439,2.70805,0.0,,,0.451456,0.795699,0.95,0.945205,1.0,0.0,4.515069,0.622603,2.70805,0.0,,,0.0,0.0,5,speed + benchmark
5 / mixed / speed + benchmark,mixed,269.0,0.100167,0.005714,0.545455,0.440892,0.679595,0.95,0.934177,1.0,0.376694,4.394189,0.496994,2.70805,0.0,3.392989,0.733029,0.440892,0.762226,0.95,0.926174,1.0,0.019324,4.537496,0.625383,2.70805,0.0,,,0.100167,0.005714,5,speed + benchmark
5 / lvo / speed + onset,lvo,41.4,0.23136,0.051413,0.666667,0.608843,0.866667,0.95,0.987179,1.0,0.467532,4.217163,0.3387,2.70805,0.0,3.486213,0.556763,0.608843,0.933333,0.95,0.964286,1.0,0.098765,4.325953,0.51294,2.70805,0.0,,,0.23136,0.051413,5,speed + onset
5 / nlvo / speed + onset,nlvo,186.4,0.085063,0.0,0.0,0.597516,0.62439,0.95,0.924,1.0,0.25974,4.438463,0.51105,2.70805,0.0,3.337055,0.820257,0.597516,0.717073,0.95,0.910345,1.0,0.0,4.603581,0.643085,2.70805,0.0,,,0.085063,0.0,5,speed + onset
5 / other / speed + onset,other,41.2,0.0,0.0,,0.608578,0.741935,0.95,0.910448,1.0,0.0,4.430044,0.553439,2.70805,0.0,,,0.608578,0.795699,0.95,0.945205,1.0,0.0,4.515069,0.622603,2.70805,0.0,,,0.0,0.0,5,speed + onset
5 / mixed / speed + onset,mixed,269.0,0.09547,0.007885,0.545455,0.608442,0.679595,0.95,0.934177,1.0,0.260163,4.394189,0.496994,2.70805,0.0,3.392989,0.733029,0.608442,0.762226,0.95,0.926174,1.0,0.019324,4.537496,0.625383,2.70805,0.0,,,0.09547,0.007885,5,speed + onset
5 / lvo / speed + onset + benchmark,lvo,41.4,0.321334,0.051413,0.666667,0.608843,0.866667,0.95,0.987179,1.0,0.649351,4.217163,0.3387,2.70805,0.0,3.486213,0.556763,0.608843,0.933333,0.95,0.964286,1.0,0.098765,4.325953,0.51294,2.70805,0.0,,,0.321334,0.051413,5,speed + onset + benchmark
5 / nlvo / speed + onset + benchmark,nlvo,186.4,0.12336,0.0,0.0,0.597516,0.62439,0.95,0.924,1.0,0.376682,4.438463,0.51105,2.70805,0.0,3.337055,0.820257,0.597516,0.717073,0.95,0.910345,1.0,0.0,4.603581,0.643085,2.70805,0.0,,,0.12336,0.0,5,speed + onset + benchmark
5 / other / speed + onset + benchmark,other,41.2,0.0,0.0,,0.608578,0.741935,0.95,0.910448,1.0,0.0,4.430044,0.553439,2.70805,0.0,,,0.608578,0.795699,0.95,0.945205,1.0,0.0,4.515069,0.622603,2.70805,0.0,,,0.0,0.0,5,speed + onset + benchmark
5 / mixed / speed + onset + benchmark,mixed,269.0,0.138233,0.007885,0.545455,0.608442,0.679595,0.95,0.934177,1.0,0.376694,4.394189,0.496994,2.70805,0.0,3.392989,0.733029,0.608442,0.762226,0.95,0.926174,1.0,0.019324,4.537496,0.625383,2.70805,0.0,,,0.138233,0.007885,5,speed + onset + benchmark
6 / lvo / base,lvo,163.2,0.227941,0.116422,0.526316,0.453431,0.82973,1.0,0.938111,1.0,0.510417,4.619152,0.477955,2.869779,0.89229,3.550851,0.531823,0.453431,0.886486,1.0,0.972561,1.0,0.184953,4.687043,0.530911,2.888908,0.933224,4.64722,0.636386,0.180147,0.072304,6,base
6 / nlvo / base,nlvo,890.4,0.080413,0.011231,0.48,0.555256,0.480987,0.977292,0.876076,1.0,0.312377,4.707177,0.511121,3.226988,1.010404,3.575854,0.539746,0.555256,0.586974,0.985527,0.90979,1.0,0.022291,4.881361,0.595092,3.307578,1.1658,4.627309,0.642457,0.071429,0.006514,6,base
6 / other / base,other,110.4,0.0,0.0,,0.565217,0.612179,0.958115,0.934426,1.0,0.0,4.606304,0.470096,2.965253,0.949941,,,0.565217,0.730769,0.973684,0.936937,1.0,0.0,4.786146,0.595609,2.970253,1.147256,,,0.0,0.0,6,base
6 / mixed / base,mixed,1164.0,0.093471,0.024914,0.510345,0.541924,0.534876,0.979253,0.894068,1.0,0.314827,4.679737,0.50225,3.131612,0.993569,3.56795,0.536807,0.541924,0.636335,0.986547,0.923232,1.0,0.04814,4.838787,0.589459,3.200401,1.141308,4.640658,0.63476,0.079897,0.01512,6,base
6 / lvo / benchmark,lvo,163.2,0.273284,0.072304,0.526316,0.453431,0.82973,1.0,0.938111,1.0,0.774306,4.619152,0.477955,2.869779,0.89229,3.550851,0.531823,0.453431,0.886486,1.0,0.972561,1.0,0.184953,4.687043,0.530911,2.888908,0.933224,4.64722,0.636386,0.273284,0.072304,6,benchmark
6 / nlvo / benchmark,nlvo,890.4,0.105914,0.006514,0.48,0.555256,0.480987,0.977292,0.876076,1.0,0.46319,4.707177,0.511121,3.226988,1.010404,3.575854,0.539746,0.555256,0.586974,0.985527,0.90979,1.0,0.022291,4.881361,0.595092,3.307578,1.1658,4.627309,0.642457,0.105914,0.006514,6,benchmark
6 / other / benchmark,other,110.4,0.0,0.0,,0.565217,0.612179,0.958115,0.934426,1.0,0.0,4.606304,0.470096,2.965253,0.949941,,,0.565217,0.730769,0.973684,0.936937,1.0,0.0,4.786146,0.595609,2.970253,1.147256,,,0.0,0.0,6,benchmark
